20.0,3.0,27.0,25.0,24.0,1.0,8.0,16.0,24.0,27.0,4.0,19.0,24.0,7.0,5.0,24.0,23.0,7.0,24.0,14.0,24.0
20.0,3.0,27.0,25.0,24.0,27.0,4.0,16.0,24.0,28.0,3.0,19.0,26.0,10.0,2.0,24.0,22.0,10.0,26.0,5.0,25.0
20.0,3.0,27.0,25.0,24.0,28.0,3.0,16.0,24.0,28.0,3.0,18.0,26.0,7.0,5.0,24.0,23.0,7.0,24.0,14.0,24.0
20.0,3.0,27.0,25.0,24.0,28.0,3.0,18.0,26.0,25.0,1.0,18.0,26.0,7.0,3.0,24.0,22.0,10.0,26.0,5.0,25.0
20.0,3.0,27.0,25.0,24.0,28.0,3.0,18.0,26.0,25.0,1.0,18.0,26.0,7.0,5.0,24.0,23.0,7.0,24.0,14.0,24.0
20.0,3.0,27.0,25.0,24.0,28.0,3.0,18.0,26.0,27.0,1.0,18.0,26.0,7.0,3.0,24.0,22.0,10.0,26.0,5.0,24.0
20.0,3.0,27.0,25.0,24.0,28.0,3.0,18.0,26.0,27.0,1.0,18.0,26.0,7.0,5.0,24.0,23.0,7.0,24.0,14.0,24.0
20.0,3.0,27.0,25.0,24.0,28.0,3.0,18.0,26.0,28.0,1.0,18.0,26.0,7.0,5.0,24.0,23.0,7.0,24.0,14.0,24.0
20.0,6.0,1.0,22.0,20.0,28.0,3.0,18.0,26.0,27.0,1.0,18.0,26.0,7.0,5.0,24.0,23.0,7.0,24.0,14.0,24.0
20.0,6.0,1.0,23.0,24.0,1.0,8.0,16.0,24.0,27.0,4.0,19.0,24.0,22.0,3.0,24.0,22.0,10.0,26.0,5.0,25.0
20.0,6.0,1.0,25.0,24.0,1.0,8.0,16.0,24.0,27.0,4.0,19.0,24.0,7.0,5.0,24.0,23.0,7.0,24.0,14.0,24.0
20.0,6.0,1.0,25.0,24.0,1.0,8.0,16.0,24.0,28.0,3.0,19.0,26.0,10.0,2.0,24.0,22.0,10.0,26.0,5.0,25.0
