type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload
Role_12,7201242.0,7201242.0,7201242.0,7201242.0,7201242.0,7201242.0,2.1603726E7,7019853.0,7055336.0,7035872.0,7019853.0,7055336.0,7037020.333333333,2.1111061E7,400069.0,400069.0,400069.0,400069.0,400069.0,400069.0,1200207.0,17.546605710514935,17.635297911110335,17.586646303512644,17.546605710514935,17.635297911110335,17.58951664171264,52.76854992513791,Esmeralda Clay,7201242.0,7035872,400069,17.586646303512644,Karen Clarens,7201242.0,7055336,400069,17.635297911110335,Kiu Kan,7201242.0,7019853,400069,17.546605710514935
Role_13,1.0001725E7,1.0001725E7,1.0001725E7,1.0001725E7,1.0001725E7,1.0001725E7,3.0005175E7,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,13500.0,400069.0,400069.0,400069.0,400069.0,400069.0,400069.0,1200207.0,0.011248059709700076,0.011248059709700076,0.011248059709700076,0.011248059709700076,0.011248059709700076,0.011248059709700076,0.03374417912910023,Miu Hanwan,1.0001725E7,4500,400069,0.011248059709700076,Immanuel Karagianni,1.0001725E7,4500,400069,0.011248059709700076,Elvira Lores,1.0001725E7,4500,400069,0.011248059709700076
Role_10,1.0001725E7,1.0001725E7,1.0001725E7,1.0001725E7,1.0001725E7,1.0001725E7,3.0005175E7,41663.0,43167.0,42989.0,41663.0,43167.0,42606.333333333336,127819.0,400069.0,400069.0,400069.0,400069.0,400069.0,400069.0,1200207.0,0.10413953593005207,0.10789888744191627,0.10745396419117702,0.10413953593005207,0.10789888744191627,0.10649746252104846,0.31949238756314535,Karel de Groot,1.0001725E7,41663,400069,0.10413953593005207,Magdalena Predutta,1.0001725E7,43167,400069,0.10789888744191627,Francois de Perrier,1.0001725E7,42989,400069,0.10745396419117702
Role_11,7201242.0,7201242.0,7201242.0,7201242.0,7201242.0,7201242.0,2.1603726E7,83704.0,89078.0,88943.0,83704.0,89078.0,87241.66666666667,261725.0,400069.0,400069.0,400069.0,400069.0,400069.0,400069.0,1200207.0,0.20922390887571893,0.2226565917379252,0.2223191499466342,0.20922390887571893,0.2226565917379252,0.21806655018675944,0.6541996505602783,Carmen Finacse,7201242.0,83704,400069,0.20922390887571893,Kiu Kan,7201242.0,89078,400069,0.2226565917379252,Sean Manney,7201242.0,88943,400069,0.2223191499466342
Role_16,4400759.0,4400759.0,4400759.0,4400759.0,4400759.0,4400759.0,8801518.0,29810.0,30594.0,29810.0,29810.0,30594.0,30202.0,60404.0,400069.0,400069.0,400069.0,400069.0,400069.0,400069.0,800138.0,0.07451214665470206,0.07647180861301425,0.07451214665470206,0.07451214665470206,0.07647180861301425,0.07549197763385815,0.1509839552677163,Pedro Alvares,4400759.0,30594,400069,0.07647180861301425,Karalda Nimwada,4400759.0,29810,400069,0.07451214665470206,,,,,
Role_17,4400759.0,4400759.0,4400759.0,4400759.0,4400759.0,4400759.0,8801518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400069.0,400069.0,400069.0,400069.0,400069.0,400069.0,800138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pedro Alvares,4400759.0,0,400069,0.0,Karalda Nimwada,4400759.0,0,400069,0.0,,,,,
Role_14,1.0001725E7,1.0001725E7,1.0001725E7,1.0001725E7,1.0001725E7,1.0001725E7,3.0005175E7,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,13500.0,400069.0,400069.0,400069.0,400069.0,400069.0,400069.0,1200207.0,0.011248059709700076,0.011248059709700076,0.011248059709700076,0.011248059709700076,0.011248059709700076,0.011248059709700076,0.03374417912910023,Karel de Groot,1.0001725E7,4500,400069,0.011248059709700076,Magdalena Predutta,1.0001725E7,4500,400069,0.011248059709700076,Francois de Perrier,1.0001725E7,4500,400069,0.011248059709700076
Role_15,7201242.0,7201242.0,7201242.0,7201242.0,7201242.0,7201242.0,2.1603726E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400069.0,400069.0,400069.0,400069.0,400069.0,400069.0,1200207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Esmeralda Clay,7201242.0,0,400069,0.0,Kiu Kan,7201242.0,0,400069,0.0,Sean Manney,7201242.0,0,400069,0.0
Role_9,1.0001725E7,1.0001725E7,1.0001725E7,1.0001725E7,1.0001725E7,1.0001725E7,3.0005175E7,2488564.0,2507810.0,2500482.0,2488564.0,2507810.0,2498952.0,7496856.0,400069.0,400069.0,400069.0,400069.0,400069.0,400069.0,1200207.0,6.220336991868902,6.268443693462878,6.2501268531178376,6.220336991868902,6.268443693462878,6.246302512816539,18.738907538449617,Karel de Groot,1.0001725E7,2507810,400069,6.268443693462878,Magdalena Predutta,1.0001725E7,2500482,400069,6.2501268531178376,Francois de Perrier,1.0001725E7,2488564,400069,6.220336991868902
Role_5,1.0001725E7,1.0001725E7,1.0001725E7,1.0001725E7,1.0001725E7,1.0001725E7,3.0005175E7,99710.0,107622.0,106766.0,99710.0,107622.0,104699.33333333333,314098.0,400069.0,400069.0,400069.0,400069.0,400069.0,400069.0,1200207.0,0.2492320074787099,0.269008596017187,0.26686896510351965,0.2492320074787099,0.269008596017187,0.2617031895331388,0.7851095685994165,Karel de Groot,1.0001725E7,107622,400069,0.269008596017187,Magdalena Predutta,1.0001725E7,99710,400069,0.2492320074787099,Francois de Perrier,1.0001725E7,106766,400069,0.26686896510351965
