17.0,9.0,28.0,26.0,25.0,28.0,7.0,19.0,1.0,28.0,10.0,20.0,26.0,23.0,10.0,25.0,1.0,6.0,24.0,13.0,24.0
17.0,14.0,28.0,4.0,26.0,27.0,3.0,17.0,24.0,28.0,3.0,19.0,24.0,7.0,3.0,24.0,23.0,5.0,26.0,9.0,26.0
17.0,14.0,28.0,24.0,26.0,28.0,3.0,17.0,24.0,28.0,3.0,19.0,26.0,7.0,3.0,24.0,23.0,5.0,26.0,9.0,26.0
17.0,14.0,28.0,25.0,26.0,27.0,3.0,17.0,24.0,28.0,3.0,19.0,24.0,7.0,3.0,24.0,23.0,5.0,26.0,9.0,26.0
17.0,14.0,28.0,25.0,26.0,27.0,3.0,17.0,24.0,28.0,3.0,19.0,25.0,7.0,3.0,1.0,22.0,2.0,26.0,12.0,24.0
17.0,14.0,28.0,25.0,26.0,27.0,3.0,17.0,24.0,28.0,3.0,19.0,25.0,7.0,3.0,1.0,22.0,2.0,26.0,13.0,24.0
18.0,5.0,15.0,28.0,26.0,28.0,6.0,17.0,25.0,28.0,13.0,16.0,26.0,12.0,11.0,24.0,23.0,5.0,26.0,9.0,26.0
20.0,8.0,27.0,26.0,24.0,27.0,4.0,20.0,26.0,28.0,4.0,16.0,26.0,8.0,13.0,27.0,23.0,12.0,24.0,13.0,24.0
20.0,8.0,27.0,26.0,24.0,27.0,4.0,20.0,26.0,28.0,4.0,19.0,25.0,7.0,3.0,1.0,22.0,2.0,26.0,12.0,24.0
17.0,14.0,28.0,25.0,26.0,27.0,3.0,17.0,24.0,28.0,3.0,19.0,24.0,7.0,3.0,24.0,23.0,5.0,26.0,9.0,26.0
